anio,mes,departamento,pais,producto,toneladas,precio
2018,Mayo,Caldas,Australia,Café,57.72,204.90
2018,Mayo,Cauca,Australia,Café,79.10,306.01
2018,Mayo,Huila,Australia,Café,135.62,432.05
2018,Mayo,Quindío,Australia,Café,141.79,581.68
2018,Mayo,Risaralda,Australia,Café,100.43,329.02
2018,Mayo,Valle del Cauca,Australia,Café,75.15,267.45
2018,Mayo,Antioquia,Bélgica,Café,431.98,1360.33
2018,Mayo,Cauca,Bélgica,Café,47.88,170.24
2018,Mayo,Huila,Bélgica,Café,19.89,66.83
2018,Mayo,Quindío,Bélgica,Café,42.02,129.25
2018,Mayo,Valle del Cauca,Bélgica,Café,104.84,308.21
2018,Mayo,Valle del Cauca,Bolivia,Café,4.15,77.57
2018,Mayo,Antioquia,Canadá,Café,284.89,904.25
2018,Mayo,Bogotá,Canadá,Café,115.51,354.88
2018,Mayo,Cauca,Canadá,Café,94.31,309.62
2018,Mayo,Cundinamarca,Canadá,Café,134.45,411.11
2018,Mayo,Risaralda,Canadá,Café,303.62,991.72
2018,Mayo,Tolima,Canadá,Café,173.28,534.54
2018,Mayo,Valle del Cauca,Canadá,Café,75.11,257.54
2018,Mayo,Antioquia,Corea,Café,442.19,1421.91
2018,Mayo,Caldas,Corea,Café,790.55,2316.11
2018,Mayo,Cauca,Corea,Café,76.95,242.59
2018,Mayo,Cundinamarca,Corea,Café,115.65,360.13
2018,Mayo,Huila,Corea,Café,214.58,695.95
2018,Mayo,Quindío,Corea,Café,418.63,1520.35
2018,Mayo,Risaralda,Corea,Café,148.76,484.55
2018,Mayo,Tolima,Corea,Café,18.00,377.10
2018,Mayo,Valle del Cauca,Corea,Café,66.33,228.58
2018,Mayo,Antioquia,Chile,Café,29.09,197.21
2018,Mayo,Bogotá,Chile,Café,31.09,464.68
2018,Mayo,Caldas,Chile,Café,24.12,499.90
2018,Mayo,Risaralda,Chile,Café,1.05,4.64
2018,Mayo,Valle del Cauca,Chile,Café,6.23,29.84
2018,Mayo,Antioquia,China,Café,20.10,129.92
2018,Mayo,Bogotá,China,Café,1.75,23.72
2018,Mayo,Caldas,China,Café,57.79,178.10
2018,Mayo,Cundinamarca,China,Café,19.25,72.72
2018,Mayo,Quindío,China,Café,151.79,553.30
2018,Mayo,Risaralda,China,Café,34.62,105.95
2018,Mayo,Antioquia,Taiwán- Provincia de China,Café,32.14,145.94
2018,Mayo,Caldas,Taiwán- Provincia de China,Café,38.50,125.01
2018,Mayo,Cauca,Taiwán- Provincia de China,Café,17.48,51.65
2018,Mayo,Cundinamarca,Taiwán- Provincia de China,Café,38.50,129.90
2018,Mayo,Quindío,Otros,Café,173.00,588.96
2018,Mayo,Tolima,Ecuador,Café,6.61,49.56
2018,Mayo,Antioquia,El Salvador,Café,1.67,13.97
2018,Mayo,Caldas,Emiratos Árabes,Café,19.25,66.02
2018,Mayo,Risaralda,Emiratos Árabes,Café,38.49,121.23
2018,Mayo,Valle del Cauca,Emiratos Árabes,Café,17.22,74.69
2018,Mayo,Quindío,España,Café,108.47,323.41
2018,Mayo,Atlántico,Estados Unidos,Café,17.51,55.26
2018,Mayo,Nariño,Estados Unidos,Café,249.67,906.07
2018,Mayo,Cundinamarca,Finlandia,Café,59.76,252.34
2018,Mayo,Huila,Finlandia,Café,209.86,656.28
2018,Mayo,Nariño,Finlandia,Café,41.93,123.09
2018,Mayo,Quindío,Finlandia,Café,0.90,6.62
2018,Mayo,Risaralda,Finlandia,Café,105.14,352.33
2018,Mayo,Valle del Cauca,Finlandia,Café,125.48,394.46
2018,Mayo,Caldas,Francia,Café,212.75,648.09
2018,Mayo,Cauca,Francia,Café,142.15,544.70
2018,Mayo,Huila,Francia,Café,181.72,562.07
2018,Mayo,Risaralda,Francia,Café,124.10,394.99
2018,Mayo,Cauca,Grecia,Café,39.94,127.79
2018,Mayo,Cundinamarca,Grecia,Café,19.27,57.68
2018,Mayo,Caldas,Guatemala,Café,4.93,54.67
2018,Mayo,Huila,India,Café,11.95,38.39
2018,Mayo,Valle del Cauca,Otros,Café,41.35,159.28
2018,Mayo,Antioquia,Israel,Café,134.90,431.12
2018,Mayo,Cauca,Israel,Café,38.25,117.29
2018,Mayo,Huila,Israel,Café,162.27,535.51
2018,Mayo,Risaralda,Israel,Café,134.49,432.15
2018,Mayo,Caldas,Italia,Café,339.74,1112.47
2018,Mayo,Cauca,Italia,Café,19.91,61.89
2018,Mayo,Huila,Italia,Café,550.60,1702.72
2018,Mayo,Quindío,Italia,Café,264.68,916.22
2018,Mayo,Valle del Cauca,Italia,Café,12.24,36.70
2018,Mayo,Risaralda,Jamaica,Café,19.23,57.03
2018,Mayo,Antioquia,Japón,Café,723.29,2297.50
2018,Mayo,Bogotá,Japón,Café,59.55,197.84
2018,Mayo,Caldas,Japón,Café,1756.02,5853.37
2018,Mayo,Cauca,Japón,Café,946.00,2847.40
2018,Mayo,Cundinamarca,Japón,Café,1448.96,4405.85
2018,Mayo,Huila,Japón,Café,869.05,2658.23
2018,Mayo,Quindío,Japón,Café,662.94,2107.58
2018,Mayo,Risaralda,Japón,Café,409.50,1246.17
2018,Mayo,Tolima,Japón,Café,574.82,1918.57
2018,Mayo,Valle del Cauca,Japón,Café,483.64,1453.77
2018,Mayo,Risaralda,Otros,Café,76.92,190.36
2018,Mayo,Caldas,Otros,Café,300.51,1127.16
2018,Mayo,Huila,Otros,Café,79.11,248.58
2018,Mayo,Quindío,México,Café,19.74,77.38
2018,Mayo,Risaralda,México,Café,17.47,51.52
2018,Mayo,Huila,Noruega,Café,297.27,886.02
2018,Mayo,Tolima,Noruega,Café,19.24,56.40
2018,Mayo,Valle del Cauca,Noruega,Café,4.12,33.18
2018,Mayo,Antioquia,Nueva Zelandia,Café,19.17,63.01
2018,Mayo,Caldas,Nueva Zelandia,Café,19.25,60.68
2018,Mayo,Cauca,Nueva Zelandia,Café,39.08,139.37
2018,Mayo,Huila,Nueva Zelandia,Café,17.73,91.27
2018,Mayo,Quindío,Nueva Zelandia,Café,39.27,122.47
2018,Mayo,Risaralda,Nueva Zelandia,Café,19.26,57.05
2018,Mayo,Valle del Cauca,Nueva Zelandia,Café,38.47,119.42
2018,Mayo,Caldas,Países Bajos,Café,83.94,266.46
2018,Mayo,Nariño,Países Bajos,Café,38.44,139.50
2018,Mayo,Valle del Cauca,Países Bajos,Café,20.96,86.47
2018,Mayo,Antioquia,Panamá,Café,32.79,169.83
2018,Mayo,Bogotá,Perú,Café,1.81,69.55
2018,Mayo,Antioquia,Polonia,Café,38.52,118.23
2018,Mayo,Caldas,Polonia,Café,59.60,546.64
2018,Mayo,Risaralda,Polonia,Café,19.28,58.76
2018,Mayo,Caldas,Portugal,Café,43.40,128.92
2018,Mayo,Cauca,Otros,Café,14.66,131.55
2018,Mayo,Antioquia,Reino Unido,Café,440.35,1668.56
2018,Mayo,Caldas,Reino Unido,Café,563.48,2397.41
2018,Mayo,Cauca,Reino Unido,Café,135.97,503.04
2018,Mayo,Cundinamarca,Reino Unido,Café,57.67,185.25
2018,Mayo,Huila,Reino Unido,Café,115.35,382.35
2018,Mayo,Tolima,Reino Unido,Café,31.62,168.90
2018,Mayo,Valle del Cauca,Reino Unido,Café,37.00,205.55
2018,Mayo,Cundinamarca,Rumania,Café,38.56,124.54
2018,Mayo,Caldas,Rusia   ,Café,91.40,896.56
2018,Mayo,Cundinamarca,Rusia   ,Café,0.70,4.58
2018,Mayo,Huila,Rusia   ,Café,77.00,253.41
2018,Mayo,Quindío,Rusia   ,Café,82.71,292.60
2018,Mayo,Risaralda,Rusia   ,Café,38.43,121.47
2018,Mayo,Huila,Singapur,Café,38.48,119.69
2018,Mayo,Risaralda,Singapur,Café,20.04,65.32
2018,Mayo,Cundinamarca,Otros,Café,19.89,62.78
2018,Mayo,Antioquia,Suecia,Café,105.12,303.46
2018,Mayo,Caldas,Suecia,Café,275.21,944.82
2018,Mayo,Cauca,Suecia,Café,20.98,77.12
2018,Mayo,Quindío,Suecia,Café,21.03,67.42
2018,Mayo,Risaralda,Suecia,Café,20.96,63.03
2018,Mayo,Risaralda,Ucrania,Café,19.25,60.40
2018,Mayo,Antioquia,Ecuador,Café,80.69,883.75
2018,Mayo,Bogotá,Ecuador,Café,8.50,113.49
2018,Mayo,Antioquia,Aruba,Café,6.57,61.58
2018,Mayo,Valle del Cauca,Aruba,Café,2.59,29.58
2018,Mayo,Antioquia,Argentina,Café,14.51,104.11
2018,Mayo,Bogotá,Argentina,Café,19.92,33.44
2018,Mayo,Caldas,Argentina,Café,20.00,83.43
2018,Mayo,Cundinamarca,Argentina,Café,33.67,125.75
2018,Mayo,Quindío,Argentina,Café,19.94,63.90
2018,Mayo,Santander,Argentina,Café,0.70,2.63
2018,Mayo,Antioquia,Australia,Café,159.90,575.37
2018,Mayo,Santander,Bélgica,Café,201.38,606.18
2018,Mayo,Antioquia,Bolivia,Café,3.67,39.98
2018,Mayo,Antioquia,Brasil,Café,20.00,67.20
2018,Mayo,Magdalena,Canadá,Café,19.21,101.67
2018,Mayo,Santander,Canadá,Café,173.09,539.92
2018,Mayo,Antioquia,Costa Rica,Café,27.43,151.18
2018,Mayo,Antioquia,Cuba,Café,2.05,20.30
2018,Mayo,Bogotá,Curazao,Café,1.18,19.96
2018,Mayo,Tolima,China,Café,13.50,232.65
2018,Mayo,Antioquia,Emiratos Árabes,Café,11.29,54.82
2018,Mayo,Bogotá,España,Café,58.43,197.77
2018,Mayo,Cauca,España,Café,45.71,175.13
2018,Mayo,Cundinamarca,España,Café,19.28,58.02
2018,Mayo,Huila,España,Café,247.09,767.67
2018,Mayo,Magdalena,España,Café,19.92,69.71
2018,Mayo,Santander,España,Café,41.33,128.13
2018,Mayo,Caldas,Finlandia,Café,162.16,619.40
2018,Mayo,Antioquia,Francia,Café,4.80,53.28
2018,Mayo,Santander,Francia,Café,38.54,135.95
2018,Mayo,Valle del Cauca,Francia,Café,15.20,129.77
2018,Mayo,Bogotá,Grecia,Café,19.94,68.56
2018,Mayo,Quindío,Grecia,Café,39.14,161.46
2018,Mayo,Santander,Grecia,Café,19.96,61.88
2018,Mayo,Tolima,Grecia,Café,19.22,57.91
2018,Mayo,Valle del Cauca,Grecia,Café,18.43,89.41
2018,Mayo,Antioquia,Guatemala,Café,11.62,111.07
2018,Mayo,Antioquia,Honduras,Café,5.26,31.98
2018,Mayo,Antioquia,Hong Kong,Café,13.95,70.21
2018,Mayo,Caldas,Israel,Café,19.24,63.40
2018,Mayo,Santander,Israel,Café,98.91,328.00
2018,Mayo,Tolima,Israel,Café,95.34,314.69
2018,Mayo,Antioquia,Italia,Café,199.09,643.02
2018,Mayo,Cundinamarca,Italia,Café,124.96,367.58
2018,Mayo,Risaralda,Italia,Café,603.72,1969.59
2018,Mayo,Santander,Italia,Café,300.37,979.89
2018,Mayo,Tolima,Italia,Café,21.02,71.84
2018,Mayo,Antioquia,México,Café,4.95,143.96
2018,Mayo,Caldas,México,Café,205.63,3312.33
2018,Mayo,Tolima,México,Café,8.64,87.70
2018,Mayo,Antioquia,Nicaragua,Café,4.30,40.73
2018,Mayo,Bogotá,Países Bajos,Café,0.55,10.34
2018,Mayo,Antioquia,Paraguay,Café,2.72,44.29
2018,Mayo,Bogotá,Paraguay,Café,1.21,30.67
2018,Mayo,Antioquia,Perú,Café,11.17,124.30
2018,Mayo,Bogotá,Polonia,Café,1.52,18.71
2018,Mayo,Huila,Polonia,Café,21.00,69.26
2018,Mayo,Huila,Portugal,Café,19.23,57.56
2018,Mayo,Antioquia,Puerto Rico,Café,0.52,7.25
2018,Mayo,Norte de Santander,Reino Unido,Café,21.76,63.69
2018,Mayo,Antioquia,Rumania,Café,40.17,121.68
2018,Mayo,Caldas,Rumania,Café,19.96,63.18
2018,Mayo,Risaralda,Rumania,Café,63.01,189.12
2018,Mayo,Santander,Suecia,Café,21.03,63.79
2018,Mayo,Antioquia,Trinidad y Tobago,Café,8.96,96.33
2018,Mayo,Caldas,Ucrania,Café,19.18,59.08
2018,Mayo,Huila,Ucrania,Café,19.21,81.75
2018,Mayo,Santander,Ucrania,Café,19.23,59.34
2018,Mayo,Quindío,Aruba,Café,0.48,3.99
2018,Mayo,Valle del Cauca,Ecuador,Café,3.79,54.91
2018,Abril,Quindío,Alemania,Café,943.20,2931.63
2018,Abril,Risaralda,Alemania,Café,476.08,1488.38
2018,Abril,Antioquia,Australia,Café,137.83,443.34
2018,Abril,Antioquia,Canadá,Café,1017.63,3231.76
2018,Abril,Bogotá,Corea,Café,230.96,730.17
2018,Abril,Valle del Cauca,Corea,Café,192.51,625.20
2018,Abril,Cundinamarca,Chile,Café,1.09,5.29
2018,Abril,Caldas,China,Café,73.25,434.96
2018,Abril,Cundinamarca,Taiwán- Provincia de China,Café,116.73,363.14
2018,Abril,Quindío,El Salvador,Café,2.25,27.79
2018,Abril,Bogotá,Emiratos Árabes,Café,0.01,0.61
2018,Abril,Bogotá,España,Café,5.81,49.64
2018,Abril,Quindío,España,Café,43.53,131.28
2018,Abril,Antioquia,Estados Unidos,Café,4518.04,18736.78
2018,Abril,Bogotá,Estados Unidos,Café,555.43,1839.12
2018,Abril,Caldas,Estados Unidos,Café,8454.43,29395.95
2018,Abril,Quindío,Estados Unidos,Café,2480.79,8043.92
2018,Abril,Risaralda,Estados Unidos,Café,2353.26,7317.25
2018,Abril,Santander,Estados Unidos,Café,1340.13,4285.56
2018,Abril,Risaralda,Japón,Café,839.67,2611.94
2018,Abril,Tolima,Japón,Café,436.02,1489.52
2018,Abril,Bogotá,México,Café,2.35,32.68
2018,Abril,Bogotá,Panamá,Café,6.57,91.10
2018,Abril,Bogotá,Paraguay,Café,0.14,2.87
2018,Abril,Bogotá,Perú,Café,0.31,8.12
2018,Abril,Cundinamarca,Perú,Café,1.25,13.58
2018,Abril,Quindío,Perú,Café,1.80,22.96
2018,Abril,Bogotá,Rusia   ,Café,58.14,197.15
2018,Abril,Risaralda,Uruguay,Café,1.40,11.47
2018,Abril,Caldas,Ecuador,Café,43.19,992.06
2018,Abril,Magdalena,Alemania,Café,56.97,1087.10
2018,Abril,Santander,Alemania,Café,312.86,958.07
2018,Abril,Magdalena,Australia,Café,11.19,43.07
2018,Abril,Caldas,Bélgica,Café,1886.93,7246.08
2018,Abril,Huila,Canadá,Café,537.49,1693.63
2018,Abril,Magdalena,Canadá,Café,19.24,69.58
2018,Abril,Quindío,Canadá,Café,606.39,1973.68
2018,Abril,Risaralda,Canadá,Café,345.82,1076.01
2018,Abril,Tolima,Canadá,Café,153.76,475.38
2018,Abril,Valle del Cauca,Canadá,Café,212.06,730.19
2018,Abril,Cauca,Estados Unidos,Café,1294.35,4129.33
2018,Abril,Cesar,Estados Unidos,Café,134.71,417.95
2018,Abril,Huila,Estados Unidos,Café,2458.44,7875.23
2018,Abril,Magdalena,Estados Unidos,Café,191.95,814.14
2018,Abril,Tolima,Estados Unidos,Café,966.05,4457.60
2018,Abril,Santander,Finlandia,Café,588.64,1878.36
2018,Abril,Santander,Otros,Café,19.21,61.42
2018,Abril,Magdalena,Japón,Café,117.17,429.51
2018,Abril,Antioquia,Otros,Café,389.41,1280.24
2018,Abril,Magdalena,México,Café,19.89,107.69
2018,Abril,Magdalena,Nueva Zelandia,Café,19.17,89.60
2018,Abril,Santander,Países Bajos,Café,38.47,120.43
2018,Abril,Antioquia,Alemania,Café,357.34,1196.17
2018,Abril,Caldas,Alemania,Café,1202.09,5123.77
2018,Abril,Cauca,Alemania,Café,222.09,718.57
2018,Abril,Cundinamarca,Alemania,Café,19.20,60.12
2018,Abril,Huila,Alemania,Café,373.06,1196.88
2018,Abril,Nariño,Alemania,Café,19.21,68.45
2018,Abril,Tolima,Alemania,Café,129.65,550.45
2018,Abril,Valle del Cauca,Alemania,Café,332.01,1173.71
2018,Abril,Caldas,Australia,Café,59.18,186.24
2018,Abril,Cauca,Australia,Café,222.64,783.81
2018,Abril,Huila,Australia,Café,119.60,444.54
2018,Abril,Nariño,Australia,Café,19.14,84.34
2018,Abril,Quindío,Australia,Café,129.29,512.33
2018,Abril,Risaralda,Australia,Café,97.06,302.81
2018,Abril,Valle del Cauca,Australia,Café,78.60,274.43
2018,Abril,Huila,Bélgica,Café,135.82,464.22
2018,Abril,Risaralda,Bélgica,Café,124.68,376.66
2018,Abril,Tolima,Bélgica,Café,142.93,441.95
2018,Abril,Valle del Cauca,Bélgica,Café,151.18,500.81
2018,Abril,Bogotá,Bolivia,Café,0.05,2.17
2018,Abril,Valle del Cauca,Bolivia,Café,4.22,78.86
2018,Abril,Bogotá,Canadá,Café,77.05,244.23
2018,Abril,Caldas,Canadá,Café,1748.50,5520.61
2018,Abril,Cundinamarca,Canadá,Café,346.05,1071.60
2018,Abril,Nariño,Canadá,Café,19.27,59.45
2018,Abril,Antioquia,Corea,Café,717.60,2403.90
2018,Abril,Caldas,Corea,Café,477.69,1603.88
2018,Abril,Cauca,Corea,Café,38.61,124.26
2018,Abril,Cundinamarca,Corea,Café,141.12,424.60
2018,Abril,Huila,Corea,Café,213.29,655.14
2018,Abril,Quindío,Corea,Café,670.12,2004.23
2018,Abril,Risaralda,Corea,Café,265.69,814.12
2018,Abril,Tolima,Corea,Café,115.74,602.42
2018,Abril,Antioquia,Chile,Café,40.77,382.82
2018,Abril,Bogotá,Chile,Café,43.75,807.85
2018,Abril,Caldas,Chile,Café,28.51,389.73
2018,Abril,Valle del Cauca,Chile,Café,29.77,200.54
2018,Abril,Antioquia,China,Café,99.27,324.24
2018,Abril,Cauca,China,Café,19.21,62.97
2018,Abril,Cundinamarca,China,Café,96.35,305.78
2018,Abril,Huila,China,Café,192.53,628.24
2018,Abril,Quindío,China,Café,96.10,294.12
2018,Abril,Risaralda,China,Café,143.82,443.36
2018,Abril,Valle del Cauca,China,Café,96.07,288.01
2018,Abril,Antioquia,Taiwán- Provincia de China,Café,36.77,117.73
2018,Abril,Caldas,Taiwán- Provincia de China,Café,171.51,610.55
2018,Abril,Cauca,Taiwán- Provincia de China,Café,19.23,59.16
2018,Abril,Risaralda,Taiwán- Provincia de China,Café,270.36,838.06
2018,Abril,Valle del Cauca,Taiwán- Provincia de China,Café,38.43,114.42
2018,Abril,Quindío,Otros,Café,160.49,514.96
2018,Abril,Antioquia,El Salvador,Café,2.90,30.18
2018,Abril,Bogotá,El Salvador,Café,3.02,100.40
2018,Abril,Caldas,Emiratos Árabes,Café,38.47,126.90
2018,Abril,Antioquia,España,Café,336.93,1114.40
2018,Abril,Huila,España,Café,690.25,2169.92
2018,Abril,Caquetá,Estados Unidos,Café,9.93,53.69
2018,Abril,Cundinamarca,Estados Unidos,Café,558.05,1717.97
2018,Abril,Nariño,Estados Unidos,Café,17.47,57.53
2018,Abril,Valle del Cauca,Estados Unidos,Café,2054.67,6758.03
2018,Abril,Risaralda,Otros,Café,136.69,452.11
2018,Abril,Cauca,Finlandia,Café,104.72,350.92
2018,Abril,Huila,Finlandia,Café,249.37,841.36
2018,Abril,Nariño,Finlandia,Café,41.97,126.30
2018,Abril,Tolima,Finlandia,Café,20.98,63.69
2018,Abril,Valle del Cauca,Finlandia,Café,270.58,942.86
2018,Abril,Cundinamarca,Francia,Café,19.97,64.44
2018,Abril,Risaralda,Francia,Café,76.86,245.11
2018,Abril,Cauca,Grecia,Café,19.96,62.18
2018,Abril,Risaralda,Grecia,Café,59.82,183.74
2018,Abril,Caldas,Guatemala,Café,4.93,54.56
2018,Abril,Antioquia,Hong Kong,Café,19.25,60.47
2018,Abril,Quindío,Hong Kong,Café,7.02,21.86
2018,Abril,Huila,Otros,Café,129.57,405.37
2018,Abril,Cundinamarca,Israel,Café,19.08,62.01
2018,Abril,Quindío,Israel,Café,134.16,426.76
2018,Abril,Risaralda,Israel,Café,249.94,824.93
2018,Abril,Antioquia,Italia,Café,180.95,559.49
2018,Abril,Caldas,Italia,Café,380.66,1242.26
2018,Abril,Cundinamarca,Italia,Café,59.76,183.74
2018,Abril,Huila,Italia,Café,460.33,1407.85
2018,Abril,Quindío,Italia,Café,517.19,1612.56
2018,Abril,Risaralda,Italia,Café,161.72,515.97
2018,Abril,Valle del Cauca,Italia,Café,40.69,127.90
2018,Abril,Antioquia,Japón,Café,1702.43,5276.54
2018,Abril,Bogotá,Japón,Café,131.34,538.59
2018,Abril,Caldas,Japón,Café,470.07,1489.35
2018,Abril,Cauca,Japón,Café,318.36,959.56
2018,Abril,Cundinamarca,Japón,Café,785.46,2778.29
2018,Abril,Huila,Japón,Café,523.70,1610.93
2018,Abril,Quindío,Japón,Café,475.75,1470.54
2018,Abril,Valle del Cauca,Japón,Café,27.84,137.81
2018,Abril,Valle del Cauca,Otros,Café,19.26,68.82
2018,Abril,Caldas,México,Café,190.09,1990.05
2018,Abril,Cundinamarca,México,Café,3.16,27.36
2018,Abril,Santander,México,Café,36.57,112.75
2018,Abril,Tolima,México,Café,17.50,56.92
2018,Abril,Antioquia,Noruega,Café,41.99,135.93
2018,Abril,Caldas,Noruega,Café,59.86,211.16
2018,Abril,Cauca,Noruega,Café,249.82,793.81
2018,Abril,Huila,Noruega,Café,243.32,751.16
2018,Abril,Risaralda,Noruega,Café,315.14,975.57
2018,Abril,Valle del Cauca,Noruega,Café,58.69,193.93
2018,Abril,Antioquia,Nueva Zelandia,Café,23.15,75.66
2018,Abril,Caldas,Nueva Zelandia,Café,17.57,61.20
2018,Abril,Cauca,Nueva Zelandia,Café,38.72,136.33
2018,Abril,Quindío,Nueva Zelandia,Café,19.28,56.77
2018,Abril,Risaralda,Nueva Zelandia,Café,17.08,51.21
2018,Abril,Valle del Cauca,Nueva Zelandia,Café,2.17,6.50
2018,Abril,Caldas,Países Bajos,Café,104.81,334.56
2018,Abril,Huila,Países Bajos,Café,19.89,70.15
2018,Abril,Quindío,Países Bajos,Café,63.04,196.41
2018,Abril,Tolima,Países Bajos,Café,21.02,71.50
2018,Abril,Valle del Cauca,Países Bajos,Café,78.34,348.44
2018,Abril,Antioquia,Panamá,Café,36.39,181.58
2018,Abril,Caldas,Perú,Café,41.78,488.19
2018,Abril,Valle del Cauca,Perú,Café,36.31,314.68
2018,Abril,Antioquia,Polonia,Café,19.27,60.34
2018,Abril,Antioquia,Reino Unido,Café,513.74,1634.58
2018,Abril,Caldas,Reino Unido,Café,440.28,1623.78
2018,Abril,Cauca,Reino Unido,Café,19.63,63.01
2018,Abril,Cundinamarca,Reino Unido,Café,21.10,68.56
2018,Abril,Huila,Reino Unido,Café,58.23,189.45
2018,Abril,Quindío,Reino Unido,Café,299.66,1506.71
2018,Abril,Risaralda,Reino Unido,Café,115.21,375.22
2018,Abril,Valle del Cauca,Reino Unido,Café,19.19,71.83
2018,Abril,Caldas,Rumania,Café,111.88,344.98
2018,Abril,Cauca,Rumania,Café,39.98,125.34
2018,Abril,Caldas,Rusia   ,Café,160.93,1158.11
2018,Abril,Huila,Rusia   ,Café,57.68,175.81
2018,Abril,Quindío,Rusia   ,Café,41.96,123.49
2018,Abril,Risaralda,Rusia   ,Café,255.00,760.06
2018,Abril,Tolima,Rusia   ,Café,19.25,63.79
2018,Abril,Risaralda,Singapur,Café,17.93,62.45
2018,Abril,Huila,Suecia,Café,249.80,772.60
2018,Abril,Quindío,Suecia,Café,20.99,68.18
2018,Abril,Caldas,Suiza,Café,19.26,57.76
2018,Abril,Risaralda,Ucrania,Café,57.68,181.13
2018,Abril,Nariño,Otros,Café,19.21,54.22
2018,Abril,Antioquia,Ecuador,Café,22.05,307.63
2018,Abril,Bogotá,Ecuador,Café,3.27,70.36
2018,Abril,Bogotá,Alemania,Café,2.51,28.97
2018,Abril,Antioquia,Aruba,Café,4.32,38.93
2018,Abril,Valle del Cauca,Aruba,Café,2.59,29.08
2018,Abril,Antioquia,Argentina,Café,31.11,247.76
2018,Abril,Caldas,Argentina,Café,24.09,81.88
2018,Abril,Cundinamarca,Argentina,Café,41.20,135.63
2018,Abril,Santander,Argentina,Café,0.69,2.70
